ID,Start_month,Start_year,End_month,End_year,Host,Host class 1,Host class 2,N_prevalence,No_Positive,Prevalence,Diagnosis,Country,Geometry_type,Site_name_1,Latitude_1,Longitude_1,Coordinate_source_1,Site_name_2,Latitude_2,Longitude_2,Coordinate_source_2,Site_name_3,Latitude_3,Longitude_3,Coordinate_source_3,Site_name_4,Latitude_4,Longitude_4,Coordinate_source_4,Site_name_5,Latitude_5,Longitude_5,Coordinate_source_5,Site_name_6,Latitude_6,Longitude_6,Coordinate_source_6,Site_name_7,Latitude_7,Longitude_7,Coordinate_source_7,Site_name_8,Latitude_8,Longitude_8,Coordinate_source_8,Admin2_1,Admin1_1,Admin0,Publication_year,Source_1,Source_2
225,3,2006,4,2006,Peromyscus levipes,rodent,alternative host,3,0,0,Positive in genetic test,Mexico,point,Site B,18.75656,-98.76915,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Ramsey, J. M. et al. Ecological connectivity of Trypanosoma cruzi reservoirs and Triatoma pallidipennis hosts in an anthropogenic landscape with endemic Chagas disease. PLoS One 7 (2012).",
226,3,2006,4,2006,Sigmodon hispidus,rodent,alternative host,19,0,0,Positive in genetic test,Mexico,point,Site B,18.75656,-98.76915,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Ramsey, J. M. et al. Ecological connectivity of Trypanosoma cruzi reservoirs and Triatoma pallidipennis hosts in an anthropogenic landscape with endemic Chagas disease. PLoS One 7 (2012).",
227,3,2006,4,2006,Mus musculus,domestic mammals,alternative host,21,0,0,Positive in genetic test,Mexico,point,Site A,18.7692,-98.7743,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Ramsey, J. M. et al. Ecological connectivity of Trypanosoma cruzi reservoirs and Triatoma pallidipennis hosts in an anthropogenic landscape with endemic Chagas disease. PLoS One 7 (2012).",
228,3,2006,4,2006,Peromyscus levipes,rodent,alternative host,1,0,0,Positive in genetic test,Mexico,point,Site A,18.7692,-98.7743,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Ramsey, J. M. et al. Ecological connectivity of Trypanosoma cruzi reservoirs and Triatoma pallidipennis hosts in an anthropogenic landscape with endemic Chagas disease. PLoS One 7 (2012).",
229,3,2006,4,2006,Rattus rattus,rodent,alternative host,1,0,0,Positive in genetic test,Mexico,point,Site A,18.7692,-98.7743,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Ramsey, J. M. et al. Ecological connectivity of Trypanosoma cruzi reservoirs and Triatoma pallidipennis hosts in an anthropogenic landscape with endemic Chagas disease. PLoS One 7 (2012).",
230,3,2006,4,2006,Sigmodon hispidus,rodent,alternative host,4,0,0,Positive in genetic test,Mexico,point,Site A,18.7692,-98.7743,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Ramsey, J. M. et al. Ecological connectivity of Trypanosoma cruzi reservoirs and Triatoma pallidipennis hosts in an anthropogenic landscape with endemic Chagas disease. PLoS One 7 (2012).",
232,1,2009,4,2009,Felis catus,domestic mammals,alternative host,220,75,0.340909091,Positive in genetic test,Mexico,point,Merida,19.5,-87.5,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Jimenez-Coello, M., Acosta-Viana, K. Y., Guzman-Marin, E., Gomez-Rios, A. & Ortega-Pacheco, A. Epidemiological survey of Trypanosoma cruzi infection in domestic owned cats from the tropical Southeast of Mexico. Zoonoses Public Health 59, 102-109 (2012).","Ortega-Pacheco, A. (2015) personal communication"
233,,2008,,2009,Felis catus,domestic mammals,alternative host,12,0,0,Positive in two independent serological tests,Mexico,point,Tulum,20.21127,-87.47106,Google Maps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Longoni, S. S. et al. Detection of different Leishmania spp. and Trypanosoma cruzi antibodies in cats from the Yucatan Peninsula (Mexico) using an iron superoxide dismutase excreted as antigen. Comp. Immunol. Microbiol. Infect. Dis. 35, 469-476 (2012).",
234,,2008,,2009,Felis catus,domestic mammals,alternative host,11,0,0,Positive in two independent serological tests,Mexico,point,Uman,20.89364,-89.72818,Google Maps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Longoni, S. S. et al. Detection of different Leishmania spp. and Trypanosoma cruzi antibodies in cats from the Yucatan Peninsula (Mexico) using an iron superoxide dismutase excreted as antigen. Comp. Immunol. Microbiol. Infect. Dis. 35, 469-476 (2012).",
235,,2008,,2009,Felis catus,domestic mammals,alternative host,72,4,0.055555556,Positive in two independent serological tests,Mexico,point,Merida,20.97942,-89.62004,Google Maps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Longoni, S. S. et al. Detection of different Leishmania spp. and Trypanosoma cruzi antibodies in cats from the Yucatan Peninsula (Mexico) using an iron superoxide dismutase excreted as antigen. Comp. Immunol. Microbiol. Infect. Dis. 35, 469-476 (2012).",
237,9,2005,11,2005,Artibeus jamaicensis,bat,alternative host,216,25,0.115740741,Positive in genetic test,Panama,point,Gatu?n Lake,9.20455,-79.83185,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Pinto, C. M., Kalko, E. K. V., Cottontail, L., Wellinghausen, N. & Cottontail, V. M. TcBat a bat-exclusive lineage of Trypanosoma cruzi in the Panama Canal Zone, with comments on its classification and the use of the 18S rRNA gene for lineage identification. Infect. Genet. Evol. 12, 1328-1332 (2012).",
238,,,,,Canis familiaris,domestic mammals,alternative host,26,11,0.423076923,Positive in two independent serological tests,Brazil,point,Caatinguinha,-4.80778,-37.78583,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Xavier, S. C. et al. Lower Richness of Small Wild Mammal Species and Chagas Disease Risk. PLoS. Negl. Trop. Dis. 6, 1-11 (2012).",
239,,,,,Canis familiaris,domestic mammals,alternative host,23,22,0.956521739,Positive in two independent serological tests,Brazil,point,Corrego das Malencias,-4.83611,-37.78889,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Xavier, S. C. et al. Lower Richness of Small Wild Mammal Species and Chagas Disease Risk. PLoS. Negl. Trop. Dis. 6, 1-11 (2012).",
240,,,,,Canis familiaris,domestic mammals,alternative host,29,19,0.655172414,Positive in two independent serological tests,Brazil,point,Dio,-4.83972,-37.77194,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Xavier, S. C. et al. Lower Richness of Small Wild Mammal Species and Chagas Disease Risk. PLoS. Negl. Trop. Dis. 6, 1-11 (2012).",
241,,,,,Canis familiaris,domestic mammals,alternative host,23,18,0.782608696,Positive in two independent serological tests,Brazil,point,Perimetro Irrigado,-4.82167,-37.83944,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Xavier, S. C. et al. Lower Richness of Small Wild Mammal Species and Chagas Disease Risk. PLoS. Negl. Trop. Dis. 6, 1-11 (2012).",
242,,,,,Canis familiaris,domestic mammals,alternative host,9,8,0.888888889,Positive in two independent serological tests,Brazil,point,Figuereido do Bruno,-4.79583,-37.82194,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Xavier, S. C. et al. Lower Richness of Small Wild Mammal Species and Chagas Disease Risk. PLoS. Negl. Trop. Dis. 6, 1-11 (2012).",
243,,,,,Canis familiaris,domestic mammals,alternative host,2,1,0.5,Positive in two independent serological tests,Brazil,point,Salobro,-4.19667,-38.71556,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Xavier, S. C. et al. Lower Richness of Small Wild Mammal Species and Chagas Disease Risk. PLoS. Negl. Trop. Dis. 6, 1-11 (2012).",
244,,,,,Canis familiaris,domestic mammals,alternative host,9,1,0.111111111,Positive in two independent serological tests,Brazil,point,Alto Cassiano,-4.22167,-38.73222,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Xavier, S. C. et al. Lower Richness of Small Wild Mammal Species and Chagas Disease Risk. PLoS. Negl. Trop. Dis. 6, 1-11 (2012).",
245,,,,,Canis familiaris,domestic mammals,alternative host,2,1,0.5,Positive in two independent serological tests,Brazil,point,Manoel Dias,-4.18167,-38.72917,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Xavier, S. C. et al. Lower Richness of Small Wild Mammal Species and Chagas Disease Risk. PLoS. Negl. Trop. Dis. 6, 1-11 (2012).",
246,,,,,Canis familiaris,domestic mammals,alternative host,3,0,0,Positive in two independent serological tests,Brazil,point,Sitio Outeiro,-4.20583,-38.73583,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Xavier, S. C. et al. Lower Richness of Small Wild Mammal Species and Chagas Disease Risk. PLoS. Negl. Trop. Dis. 6, 1-11 (2012).",
247,,,,,Canis familiaris,domestic mammals,alternative host,10,5,0.5,Positive in two independent serological tests,Brazil,point,Cipo,-4.96306,-38.155,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Xavier, S. C. et al. Lower Richness of Small Wild Mammal Species and Chagas Disease Risk. PLoS. Negl. Trop. Dis. 6, 1-11 (2012).",
248,,,,,Canis familiaris,domestic mammals,alternative host,52,6,0.115384615,Positive in two independent serological tests,Brazil,point,Joao Costa (Urban Area),-8.55667,-42.43667,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Xavier, S. C. et al. Lower Richness of Small Wild Mammal Species and Chagas Disease Risk. PLoS. Negl. Trop. Dis. 6, 1-11 (2012).",
249,,,,,Canis familiaris,domestic mammals,alternative host,12,11,0.916666667,Positive in two independent serological tests,Brazil,point,Augustinopolis (2000),-5.40306,-48.01667,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Xavier, S. C. et al. Lower Richness of Small Wild Mammal Species and Chagas Disease Risk. PLoS. Negl. Trop. Dis. 6, 1-11 (2012).",
250,,,,,Canis familiaris,domestic mammals,alternative host,24,14,0.583333333,Positive in two independent serological tests,Brazil,point,Sao Roque,-5.50722,-48.04611,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Xavier, S. C. et al. Lower Richness of Small Wild Mammal Species and Chagas Disease Risk. PLoS. Negl. Trop. Dis. 6, 1-11 (2012).",
251,,,,,Canis familiaris,domestic mammals,alternative host,25,6,0.24,Positive in two independent serological tests,Brazil,point,Sao Francisco,-5.39222,-48.47944,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Xavier, S. C. et al. Lower Richness of Small Wild Mammal Species and Chagas Disease Risk. PLoS. Negl. Trop. Dis. 6, 1-11 (2012).",
252,,,,,Canis familiaris,domestic mammals,alternative host,10,4,0.4,Positive in two independent serological tests,Brazil,point,Lagoa de Sao Salvador,-5.64361,-47.73361,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Xavier, S. C. et al. Lower Richness of Small Wild Mammal Species and Chagas Disease Risk. PLoS. Negl. Trop. Dis. 6, 1-11 (2012).",
253,,,,,Canis familiaris,domestic mammals,alternative host,22,3,0.136363636,Positive in two independent serological tests,Brazil,point,Piquizeiro,-5.7,-47.73389,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Xavier, S. C. et al. Lower Richness of Small Wild Mammal Species and Chagas Disease Risk. PLoS. Negl. Trop. Dis. 6, 1-11 (2012).",
254,,,,,Canis familiaris,domestic mammals,alternative host,18,6,0.333333333,Positive in two independent serological tests,Brazil,point,Ajuai,-1.75056,-49.05694,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Xavier, S. C. et al. Lower Richness of Small Wild Mammal Species and Chagas Disease Risk. PLoS. Negl. Trop. Dis. 6, 1-11 (2012).",
255,,,,,Canis familiaris,domestic mammals,alternative host,4,0,0,Positive in two independent serological tests,Brazil,point,Genipauba,-1.75056,-48.90028,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Xavier, S. C. et al. Lower Richness of Small Wild Mammal Species and Chagas Disease Risk. PLoS. Negl. Trop. Dis. 6, 1-11 (2012).",
256,,,,,Canis familiaris,domestic mammals,alternative host,26,11,0.423076923,Positive in two independent serological tests,Brazil,point,Panacaueira,-1.805,-49.10417,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Xavier, S. C. et al. Lower Richness of Small Wild Mammal Species and Chagas Disease Risk. PLoS. Negl. Trop. Dis. 6, 1-11 (2012).",
257,,,,,Canis familiaris,domestic mammals,alternative host,149,38,0.255033557,Positive in two independent serological tests,Brazil,point,Abaetetuba (Urban Area),-1.71611,-48.85833,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Xavier, S. C. et al. Lower Richness of Small Wild Mammal Species and Chagas Disease Risk. PLoS. Negl. Trop. Dis. 6, 1-11 (2012).",
258,,,,,Canis familiaris,domestic mammals,alternative host,15,2,0.133333333,Positive in two independent serological tests,Brazil,point,Jurunas,-1.47056,-48.50278,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Xavier, S. C. et al. Lower Richness of Small Wild Mammal Species and Chagas Disease Risk. PLoS. Negl. Trop. Dis. 6, 1-11 (2012).",
259,,,,,Canis familiaris,domestic mammals,alternative host,19,6,0.315789474,Positive in two independent serological tests,Brazil,point,Val de Cans,-1.38667,-48.47139,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Xavier, S. C. et al. Lower Richness of Small Wild Mammal Species and Chagas Disease Risk. PLoS. Negl. Trop. Dis. 6, 1-11 (2012).",
260,,,,,Canis familiaris,domestic mammals,alternative host,4,2,0.5,Positive in two independent serological tests,Brazil,point,Aranai,-1.095,-48.66083,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Xavier, S. C. et al. Lower Richness of Small Wild Mammal Species and Chagas Disease Risk. PLoS. Negl. Trop. Dis. 6, 1-11 (2012).",
261,,,,,Canis familiaris,domestic mammals,alternative host,2,0,0,Positive in two independent serological tests,Brazil,point,Furinho,-1.08722,-48.65194,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Xavier, S. C. et al. Lower Richness of Small Wild Mammal Species and Chagas Disease Risk. PLoS. Negl. Trop. Dis. 6, 1-11 (2012).",
262,,,,,Canis familiaris,domestic mammals,alternative host,5,1,0.2,Positive in two independent serological tests,Brazil,point,Mata  Fome,-1.07083,-48.63056,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Xavier, S. C. et al. Lower Richness of Small Wild Mammal Species and Chagas Disease Risk. PLoS. Negl. Trop. Dis. 6, 1-11 (2012).",
263,,,,,Canis familiaris,domestic mammals,alternative host,1,0,0,Positive in two independent serological tests,Brazil,point,Sede Furo Grande,-1.09194,-48.65389,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Xavier, S. C. et al. Lower Richness of Small Wild Mammal Species and Chagas Disease Risk. PLoS. Negl. Trop. Dis. 6, 1-11 (2012).",
264,,,,,Canis familiaris,domestic mammals,alternative host,9,8,0.888888889,Positive in two independent serological tests,Brazil,point,Sao Jose da Povoacao,-1.67444,-50.14472,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Xavier, S. C. et al. Lower Richness of Small Wild Mammal Species and Chagas Disease Risk. PLoS. Negl. Trop. Dis. 6, 1-11 (2012).",
265,,,,,Canis familiaris,domestic mammals,alternative host,77,37,0.480519481,Positive in two independent serological tests,Brazil,point,Setor 11,-1.63889,-54.24222,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Xavier, S. C. et al. Lower Richness of Small Wild Mammal Species and Chagas Disease Risk. PLoS. Negl. Trop. Dis. 6, 1-11 (2012).",
266,,,,,Canis familiaris,domestic mammals,alternative host,39,0,0,Positive in two independent serological tests,Brazil,point,Corumba (Farms),-19.57472,-56.24556,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Xavier, S. C. et al. Lower Richness of Small Wild Mammal Species and Chagas Disease Risk. PLoS. Negl. Trop. Dis. 6, 1-11 (2012).",
303,12,2010,12,2010,Octodon degus,rodent,alternative host,90,63,0.7,Positive in genetic test,Chile,point,Reserva Nacional Las Chinchillas,-31.5441,-71.10978,Google Maps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Botto-Mahan, C., Bacigalupo, A., Correa, J. P., Oda, E. & Solari, A. Field assessment of Trypanosoma cruzi infection and host survival in the native rodent Octodon degus. Acta Tropica 122, 164-167 (2012).",
304,12,2011,12,2011,Octodon degus,rodent,alternative host,72,18,0.25,Positive in genetic test,Chile,point,Reserva Nacional Las Chinchillas,-31.5441,-71.10978,Google Maps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Botto-Mahan, C., Bacigalupo, A., Correa, J. P., Oda, E. & Solari, A. Field assessment of Trypanosoma cruzi infection and host survival in the native rodent Octodon degus. Acta Tropica 122, 164-167 (2012).",
321,,,,,Rattus rattus,rodent,alternative host,33,24,0.727272727,Positive in one serological test,Brazil,points,Dio,-4.843,-37.79127,Google Maps,Corrego das Melancias,-4.77222,-37.28444,GeoNames,Perimetro Irrigado,-6.487835,-37.1744,Google Maps,Caatinguinha,-4.833946,-37.780012,http://www.apontador.com.br/local/ce/jaguaruana/materiais_de_construcao/C40531681F400T400A/decel_construcoes.html#map_tab,,,,,,,,,,,,,,,,,7041,,,2012,"Lima, M. M. et al. Investigation of Chagas disease in four periurban areas in northeastern Brazil: epidemiologic survey in man, vectors, non-human hosts and reservoirs. Trans. R. Soc. Trop. Med. Hyg. 106, 143-149 (2012).",
322,,,,,Trichomys laurentius,rodent,alternative host,2,2,1,Positive in one serological test,Brazil,points,Dio,-4.843,-37.79127,Google Maps,Corrego das Melancias,-4.77222,-37.28444,GeoNames,Perimetro Irrigado,-6.487835,-37.1744,Google Maps,Caatinguinha,-4.833946,-37.780012,http://www.apontador.com.br/local/ce/jaguaruana/materiais_de_construcao/C40531681F400T400A/decel_construcoes.html#map_tab,,,,,,,,,,,,,,,,,7041,,,2012,"Lima, M. M. et al. Investigation of Chagas disease in four periurban areas in northeastern Brazil: epidemiologic survey in man, vectors, non-human hosts and reservoirs. Trans. R. Soc. Trop. Med. Hyg. 106, 143-149 (2012).",
323,,,,,Galea spixii,rodent,alternative host,8,0,0,Positive in one serological test,Brazil,points,Dio,-4.843,-37.79127,Google Maps,Corrego das Melancias,-4.77222,-37.28444,GeoNames,Perimetro Irrigado,-6.487835,-37.1744,Google Maps,Caatinguinha,-4.833946,-37.780012,http://www.apontador.com.br/local/ce/jaguaruana/materiais_de_construcao/C40531681F400T400A/decel_construcoes.html#map_tab,,,,,,,,,,,,,,,,,7041,,,2012,"Lima, M. M. et al. Investigation of Chagas disease in four periurban areas in northeastern Brazil: epidemiologic survey in man, vectors, non-human hosts and reservoirs. Trans. R. Soc. Trop. Med. Hyg. 106, 143-149 (2012).",
324,,,,,Mus musculus,domestic mammals,alternative host,6,1,0.166666667,Positive in one serological test,Brazil,points,Dio,-4.843,-37.79127,Google Maps,Corrego das Melancias,-4.77222,-37.28444,GeoNames,Perimetro Irrigado,-6.487835,-37.1744,Google Maps,Caatinguinha,-4.833946,-37.780012,http://www.apontador.com.br/local/ce/jaguaruana/materiais_de_construcao/C40531681F400T400A/decel_construcoes.html#map_tab,,,,,,,,,,,,,,,,,7041,,,2012,"Lima, M. M. et al. Investigation of Chagas disease in four periurban areas in northeastern Brazil: epidemiologic survey in man, vectors, non-human hosts and reservoirs. Trans. R. Soc. Trop. Med. Hyg. 106, 143-149 (2012).",
325,,,,,Monodelphis domestica,marsupial,alternative host,1,1,1,Positive in one serological test,Brazil,points,Dio,-4.843,-37.79127,Google Maps,Corrego das Melancias,-4.77222,-37.28444,GeoNames,Perimetro Irrigado,-6.487835,-37.1744,Google Maps,Caatinguinha,-4.833946,-37.780012,http://www.apontador.com.br/local/ce/jaguaruana/materiais_de_construcao/C40531681F400T400A/decel_construcoes.html#map_tab,,,,,,,,,,,,,,,,,7041,,,2012,"Lima, M. M. et al. Investigation of Chagas disease in four periurban areas in northeastern Brazil: epidemiologic survey in man, vectors, non-human hosts and reservoirs. Trans. R. Soc. Trop. Med. Hyg. 106, 143-149 (2012).",
326,,,,,Didelphis albiventris,marsupial,alternative host,30,25,0.833333333,Positive in one serological test,Brazil,points,Dio,-4.843,-37.79127,Google Maps,Corrego das Melancias,-4.77222,-37.28444,GeoNames,Perimetro Irrigado,-6.487835,-37.1744,Google Maps,Caatinguinha,-4.833946,-37.780012,http://www.apontador.com.br/local/ce/jaguaruana/materiais_de_construcao/C40531681F400T400A/decel_construcoes.html#map_tab,,,,,,,,,,,,,,,,,7041,,,2012,"Lima, M. M. et al. Investigation of Chagas disease in four periurban areas in northeastern Brazil: epidemiologic survey in man, vectors, non-human hosts and reservoirs. Trans. R. Soc. Trop. Med. Hyg. 106, 143-149 (2012).",
327,,,,,Canis familiaris,domestic mammals,alternative host,96,43,0.447916667,Positive in one serological test,Brazil,points,Dio,-4.843,-37.79127,Google Maps,Corrego das Melancias,-4.77222,-37.28444,GeoNames,Perimetro Irrigado,-6.487835,-37.1744,Google Maps,Caatinguinha,-4.833946,-37.780012,http://www.apontador.com.br/local/ce/jaguaruana/materiais_de_construcao/C40531681F400T400A/decel_construcoes.html#map_tab,,,,,,,,,,,,,,,,,7041,,,2012,"Lima, M. M. et al. Investigation of Chagas disease in four periurban areas in northeastern Brazil: epidemiologic survey in man, vectors, non-human hosts and reservoirs. Trans. R. Soc. Trop. Med. Hyg. 106, 143-149 (2012).",
398,1,2010,8,2010,Canis familiaris,domestic mammals,alternative host,291,1,0.003436426,Positive in two independent serological tests,Mexico,point,Toluca Valley,19.62556,-99.65389,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"Quijano-Hernandez, I. A. et al. Seroprevalence survey of American Trypanosomiasis in central valley of Toluca. Scientific World Journal. (2012).","Quijano-Hernandez, I. A. (2015) personal communication"
404,,2002,,2009,Oecomys mamorae,rodent,alternative host,136,10,0.073529412,Positive in genetic test,Brazil,point,"study site, Southern Pantanal",-19.58167,-56.25056,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,"Herrera, H. M. et al. Food web connections and the transmission cycles of Trypanosoma cruzi and Trypanosoma evansi (Kinetoplastida, Trypanosomatidae) in the Pantanal Region, Brazil. Trans. R. Soc. Trop. Med. Hyg. 105, 380-387 (2011).",
405,,2002,,2009,Thrichomys pachyurus,rodent,alternative host,274,2,0.00729927,Positive in genetic test,Brazil,point,"study site, Southern Pantanal",-19.58167,-56.25056,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,"Herrera, H. M. et al. Food web connections and the transmission cycles of Trypanosoma cruzi and Trypanosoma evansi (Kinetoplastida, Trypanosomatidae) in the Pantanal Region, Brazil. Trans. R. Soc. Trop. Med. Hyg. 105, 380-387 (2011).",
406,,2002,,2009,Clyomys laticeps,rodent,alternative host,76,1,0.013157895,Positive in genetic test,Brazil,point,"study site, Southern Pantanal",-19.58167,-56.25056,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,"Herrera, H. M. et al. Food web connections and the transmission cycles of Trypanosoma cruzi and Trypanosoma evansi (Kinetoplastida, Trypanosomatidae) in the Pantanal Region, Brazil. Trans. R. Soc. Trop. Med. Hyg. 105, 380-387 (2011).",
407,,2002,,2009,Cerradomys scotti,rodent,alternative host,11,2,0.181818182,Positive in genetic test,Brazil,point,"study site, Southern Pantanal",-19.58167,-56.25056,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,"Herrera, H. M. et al. Food web connections and the transmission cycles of Trypanosoma cruzi and Trypanosoma evansi (Kinetoplastida, Trypanosomatidae) in the Pantanal Region, Brazil. Trans. R. Soc. Trop. Med. Hyg. 105, 380-387 (2011).",
408,,2002,,2009,Gracilinanus agilis,marsupial,alternative host,80,5,0.0625,Positive in genetic test,Brazil,point,"study site, Southern Pantanal",-19.58167,-56.25056,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,"Herrera, H. M. et al. Food web connections and the transmission cycles of Trypanosoma cruzi and Trypanosoma evansi (Kinetoplastida, Trypanosomatidae) in the Pantanal Region, Brazil. Trans. R. Soc. Trop. Med. Hyg. 105, 380-387 (2011).",
409,,2002,,2009,Thylamys macrurus,marsupial,alternative host,19,2,0.105263158,Positive in genetic test,Brazil,point,"study site, Southern Pantanal",-19.58167,-56.25056,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,"Herrera, H. M. et al. Food web connections and the transmission cycles of Trypanosoma cruzi and Trypanosoma evansi (Kinetoplastida, Trypanosomatidae) in the Pantanal Region, Brazil. Trans. R. Soc. Trop. Med. Hyg. 105, 380-387 (2011).",
410,,2002,,2009,Monodelphis domestica,marsupial,alternative host,33,1,0.03030303,Positive in genetic test,Brazil,point,"study site, Southern Pantanal",-19.58167,-56.25056,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,"Herrera, H. M. et al. Food web connections and the transmission cycles of Trypanosoma cruzi and Trypanosoma evansi (Kinetoplastida, Trypanosomatidae) in the Pantanal Region, Brazil. Trans. R. Soc. Trop. Med. Hyg. 105, 380-387 (2011).",
411,,2002,,2009,Philander frenatus,marsupial,alternative host,10,1,0.1,Positive in genetic test,Brazil,point,"study site, Southern Pantanal",-19.58167,-56.25056,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,"Herrera, H. M. et al. Food web connections and the transmission cycles of Trypanosoma cruzi and Trypanosoma evansi (Kinetoplastida, Trypanosomatidae) in the Pantanal Region, Brazil. Trans. R. Soc. Trop. Med. Hyg. 105, 380-387 (2011).",
412,,2002,,2009,Sus scrofa,wild mammal (excluding rodents/bats/primates),alternative host,32,1,0.03125,Positive in genetic test,Brazil,point,"study site, Southern Pantanal",-19.58167,-56.25056,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,"Herrera, H. M. et al. Food web connections and the transmission cycles of Trypanosoma cruzi and Trypanosoma evansi (Kinetoplastida, Trypanosomatidae) in the Pantanal Region, Brazil. Trans. R. Soc. Trop. Med. Hyg. 105, 380-387 (2011).",
413,5,2007,6,2007,Nasua nasua,wild mammal (excluding rodents/bats/primates),alternative host,11,2,0.181818182,Positive in one serological test,Brazil,point,Nhumirim ranch,-18.98333,-56.65,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,"Alves, F. M. et al. Modulating variables of Trypanosoma cruzi and Trypanosoma evansi Transmission in free-ranging coati (Nasua nasua) from the Brazilian Pantanal Region. Vector Borne Zoonotic Dis. 11, 835-841 (2011).",
414,8,2007,9,2007,Nasua nasua,wild mammal (excluding rodents/bats/primates),alternative host,20,10,0.5,Positive in one serological test,Brazil,point,Nhumirim ranch,-18.98333,-56.65,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,"Alves, F. M. et al. Modulating variables of Trypanosoma cruzi and Trypanosoma evansi Transmission in free-ranging coati (Nasua nasua) from the Brazilian Pantanal Region. Vector Borne Zoonotic Dis. 11, 835-841 (2011).",
415,11,2007,11,2007,Nasua nasua,wild mammal (excluding rodents/bats/primates),alternative host,19,9,0.473684211,Positive in one serological test,Brazil,point,Nhumirim ranch,-18.98333,-56.65,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,"Alves, F. M. et al. Modulating variables of Trypanosoma cruzi and Trypanosoma evansi Transmission in free-ranging coati (Nasua nasua) from the Brazilian Pantanal Region. Vector Borne Zoonotic Dis. 11, 835-841 (2011).",
