ID,Start_month,Start_year,End_month,End_year,Host,Host class 1,Host class 2,N_prevalence,No_Positive,Prevalence,Diagnosis,Country,Geometry_type,Site_name_1,Latitude_1,Longitude_1,Coordinate_source_1,Site_name_2,Latitude_2,Longitude_2,Coordinate_source_2,Site_name_3,Latitude_3,Longitude_3,Coordinate_source_3,Site_name_4,Latitude_4,Longitude_4,Coordinate_source_4,Site_name_5,Latitude_5,Longitude_5,Coordinate_source_5,Site_name_6,Latitude_6,Longitude_6,Coordinate_source_6,Admin2_1,Admin2_2,Admin2_3,Admin2_4,Admin2_5,Admin1_1,Admin1_2,Admin1_3,Public_year,Source_1,Source_2
5925,,2007,,2007,Panstrongylus megistus,Panstrongylus,vector,7,1,0.142857143,Direct examination,Brazil,polygon,Mateus Leme municipality,,,,,,,,,,,,,,,,,,,,,,,,8340,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5926,,2011,,2011,Panstrongylus megistus,Panstrongylus,vector,7,0,0,Direct examination,Brazil,polygon,Mateus Leme municipality,,,,,,,,,,,,,,,,,,,,,,,,8340,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5927,,2008,,2008,Panstrongylus megistus,Panstrongylus,vector,5,0,0,Direct examination,Brazil,polygon,Mateus Leme municipality,,,,,,,,,,,,,,,,,,,,,,,,8340,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5928,,2011,,2011,Panstrongylus megistus,Panstrongylus,vector,6,0,0,Direct examination,Brazil,polygon,Matutina municipality,,,,,,,,,,,,,,,,,,,,,,,,8347,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5929,,2007,,2007,Panstrongylus megistus,Panstrongylus,vector,2,0,0,Direct examination,Brazil,polygon,Matutina municipality,,,,,,,,,,,,,,,,,,,,,,,,8347,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5930,,2009,,2009,Panstrongylus megistus,Panstrongylus,vector,21,1,0.047619048,Direct examination,Brazil,polygon,Matutina municipality,,,,,,,,,,,,,,,,,,,,,,,,8347,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5931,,2008,,2008,Panstrongylus megistus,Panstrongylus,vector,5,0,0,Direct examination,Brazil,polygon,Matutina municipality,,,,,,,,,,,,,,,,,,,,,,,,8347,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5932,,2010,,2010,Panstrongylus megistus,Panstrongylus,vector,8,0,0,Direct examination,Brazil,polygon,Matutina municipality,,,,,,,,,,,,,,,,,,,,,,,,8347,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5933,,2007,,2007,Panstrongylus megistus,Panstrongylus,vector,33,2,0.060606061,Direct examination,Brazil,polygon,Medeiros municipality,,,,,,,,,,,,,,,,,,,,,,,,8348,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5934,,2009,,2009,Panstrongylus megistus,Panstrongylus,vector,5,0,0,Direct examination,Brazil,polygon,Medeiros municipality,,,,,,,,,,,,,,,,,,,,,,,,8348,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5935,,2011,,2011,Panstrongylus megistus,Panstrongylus,vector,24,0,0,Direct examination,Brazil,polygon,Medeiros municipality,,,,,,,,,,,,,,,,,,,,,,,,8348,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5936,,2010,,2010,Panstrongylus megistus,Panstrongylus,vector,1,0,0,Direct examination,Brazil,polygon,Medeiros municipality,,,,,,,,,,,,,,,,,,,,,,,,8348,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5937,,2008,,2008,Panstrongylus megistus,Panstrongylus,vector,3,0,0,Direct examination,Brazil,polygon,Medeiros municipality,,,,,,,,,,,,,,,,,,,,,,,,8348,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5938,,2007,,2007,Panstrongylus megistus,Panstrongylus,vector,1,0,0,Direct examination,Brazil,polygon,Minas Novas municipality,,,,,,,,,,,,,,,,,,,,,,,,8353,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5939,,2009,,2009,Panstrongylus megistus,Panstrongylus,vector,33,3,0.090909091,Direct examination,Brazil,polygon,Monte Belo municipality,,,,,,,,,,,,,,,,,,,,,,,,8366,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5940,,2007,,2007,Panstrongylus megistus,Panstrongylus,vector,12,0,0,Direct examination,Brazil,polygon,Monte Belo municipality,,,,,,,,,,,,,,,,,,,,,,,,8366,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5941,,2011,,2011,Panstrongylus megistus,Panstrongylus,vector,5,0,0,Direct examination,Brazil,polygon,Monte Belo municipality,,,,,,,,,,,,,,,,,,,,,,,,8366,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5942,,2010,,2010,Panstrongylus megistus,Panstrongylus,vector,15,0,0,Direct examination,Brazil,polygon,Monte Belo municipality,,,,,,,,,,,,,,,,,,,,,,,,8366,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5943,,2008,,2008,Panstrongylus megistus,Panstrongylus,vector,2,2,1,Direct examination,Brazil,polygon,Monte Belo municipality,,,,,,,,,,,,,,,,,,,,,,,,8366,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5944,,2009,,2009,Panstrongylus megistus,Panstrongylus,vector,14,1,0.071428571,Direct examination,Brazil,polygon,Monte Carmelo municipality,,,,,,,,,,,,,,,,,,,,,,,,8367,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5945,,2007,,2007,Panstrongylus megistus,Panstrongylus,vector,12,4,0.333333333,Direct examination,Brazil,polygon,Monte Carmelo municipality,,,,,,,,,,,,,,,,,,,,,,,,8367,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5946,,2010,,2010,Panstrongylus megistus,Panstrongylus,vector,2,0,0,Direct examination,Brazil,polygon,Monte Carmelo municipality,,,,,,,,,,,,,,,,,,,,,,,,8367,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5947,,2008,,2008,Panstrongylus megistus,Panstrongylus,vector,15,0,0,Direct examination,Brazil,polygon,Monte Carmelo municipality,,,,,,,,,,,,,,,,,,,,,,,,8367,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5948,,2011,,2011,Panstrongylus megistus,Panstrongylus,vector,7,3,0.428571429,Direct examination,Brazil,polygon,Monte Carmelo municipality,,,,,,,,,,,,,,,,,,,,,,,,8367,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5949,,2010,,2010,Panstrongylus megistus,Panstrongylus,vector,12,0,0,Direct examination,Brazil,polygon,Monte Santo de Minas municipality,,,,,,,,,,,,,,,,,,,,,,,,8369,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5950,,2007,,2007,Panstrongylus megistus,Panstrongylus,vector,20,0,0,Direct examination,Brazil,polygon,Monte Santo de Minas municipality,,,,,,,,,,,,,,,,,,,,,,,,8369,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5951,,2009,,2009,Panstrongylus megistus,Panstrongylus,vector,14,0,0,Direct examination,Brazil,polygon,Monte Santo de Minas municipality,,,,,,,,,,,,,,,,,,,,,,,,8369,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5952,,2008,,2008,Panstrongylus megistus,Panstrongylus,vector,9,0,0,Direct examination,Brazil,polygon,Monte Santo de Minas municipality,,,,,,,,,,,,,,,,,,,,,,,,8369,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5953,,2011,,2011,Panstrongylus megistus,Panstrongylus,vector,8,0,0,Direct examination,Brazil,polygon,Monte Santo de Minas municipality,,,,,,,,,,,,,,,,,,,,,,,,8369,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5954,,2008,,2008,Panstrongylus megistus,Panstrongylus,vector,1,0,0,Direct examination,Brazil,polygon,Montes Claros municipality,,,,,,,,,,,,,,,,,,,,,,,,8371,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5955,,2007,,2007,Panstrongylus megistus,Panstrongylus,vector,1,0,0,Direct examination,Brazil,polygon,Morro da Garça municipality,,,,,,,,,,,,,,,,,,,,,,,,8374,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5956,,2008,,2008,Panstrongylus megistus,Panstrongylus,vector,2,0,0,Direct examination,Brazil,polygon,Morro do Pilar municipality,,,,,,,,,,,,,,,,,,,,,,,,8375,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5957,,2008,,2008,Panstrongylus megistus,Panstrongylus,vector,5,0,0,Direct examination,Brazil,polygon,Muzambinho municipality,,,,,,,,,,,,,,,,,,,,,,,,8379,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5958,,2010,,2010,Panstrongylus megistus,Panstrongylus,vector,52,15,0.288461538,Direct examination,Brazil,polygon,Muzambinho municipality,,,,,,,,,,,,,,,,,,,,,,,,8379,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5959,,2011,,2011,Panstrongylus megistus,Panstrongylus,vector,30,3,0.1,Direct examination,Brazil,polygon,Muzambinho municipality,,,,,,,,,,,,,,,,,,,,,,,,8379,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5960,,2009,,2009,Panstrongylus megistus,Panstrongylus,vector,30,12,0.4,Direct examination,Brazil,polygon,Muzambinho municipality,,,,,,,,,,,,,,,,,,,,,,,,8379,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5961,,2007,,2007,Panstrongylus megistus,Panstrongylus,vector,55,5,0.090909091,Direct examination,Brazil,polygon,Muzambinho municipality,,,,,,,,,,,,,,,,,,,,,,,,8379,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5962,,2007,,2007,Panstrongylus megistus,Panstrongylus,vector,1,0,0,Direct examination,Brazil,polygon,Nazareno municipality,,,,,,,,,,,,,,,,,,,,,,,,8385,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5963,,2011,,2011,Panstrongylus megistus,Panstrongylus,vector,1,0,0,Direct examination,Brazil,polygon,Nepomuceno municipality,,,,,,,,,,,,,,,,,,,,,,,,8386,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5964,,2008,,2008,Panstrongylus megistus,Panstrongylus,vector,3,0,0,Direct examination,Brazil,polygon,Nepomuceno municipality,,,,,,,,,,,,,,,,,,,,,,,,8386,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5965,,2009,,2009,Panstrongylus megistus,Panstrongylus,vector,2,0,0,Direct examination,Brazil,polygon,Ninheira municipality,,,,,,,,,,,,,,,,,,,,,,,,8387,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5966,,2007,,2007,Panstrongylus megistus,Panstrongylus,vector,1,0,0,Direct examination,Brazil,polygon,Ninheira municipality,,,,,,,,,,,,,,,,,,,,,,,,8387,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5967,,2010,,2010,Panstrongylus megistus,Panstrongylus,vector,1,0,0,Direct examination,Brazil,polygon,Ninheira municipality,,,,,,,,,,,,,,,,,,,,,,,,8387,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5968,,2008,,2008,Panstrongylus megistus,Panstrongylus,vector,5,0,0,Direct examination,Brazil,polygon,Nova Ponte municipality,,,,,,,,,,,,,,,,,,,,,,,,8392,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5969,,2007,,2007,Panstrongylus megistus,Panstrongylus,vector,40,4,0.1,Direct examination,Brazil,polygon,Nova Resende municipality,,,,,,,,,,,,,,,,,,,,,,,,8394,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5970,,2010,,2010,Panstrongylus megistus,Panstrongylus,vector,5,0,0,Direct examination,Brazil,polygon,Nova Resende municipality,,,,,,,,,,,,,,,,,,,,,,,,8394,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5971,,2009,,2009,Panstrongylus megistus,Panstrongylus,vector,1,0,0,Direct examination,Brazil,polygon,Nova Resende municipality,,,,,,,,,,,,,,,,,,,,,,,,8394,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5972,,2008,,2008,Panstrongylus megistus,Panstrongylus,vector,23,3,0.130434783,Direct examination,Brazil,polygon,Nova Resende municipality,,,,,,,,,,,,,,,,,,,,,,,,8394,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5973,,2011,,2011,Panstrongylus megistus,Panstrongylus,vector,11,0,0,Direct examination,Brazil,polygon,Nova Resende municipality,,,,,,,,,,,,,,,,,,,,,,,,8394,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5974,,2009,,2009,Panstrongylus megistus,Panstrongylus,vector,8,4,0.5,Direct examination,Brazil,polygon,Nova União municipality,,,,,,,,,,,,,,,,,,,,,,,,8396,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5975,,2011,,2011,Panstrongylus megistus,Panstrongylus,vector,2,0,0,Direct examination,Brazil,polygon,Nova União municipality,,,,,,,,,,,,,,,,,,,,,,,,8396,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5976,,2010,,2010,Panstrongylus megistus,Panstrongylus,vector,7,1,0.142857143,Direct examination,Brazil,polygon,Nova União municipality,,,,,,,,,,,,,,,,,,,,,,,,8396,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5977,,2008,,2008,Panstrongylus megistus,Panstrongylus,vector,20,3,0.15,Direct examination,Brazil,polygon,Nova União municipality,,,,,,,,,,,,,,,,,,,,,,,,8396,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5978,,2007,,2007,Panstrongylus megistus,Panstrongylus,vector,46,11,0.239130435,Direct examination,Brazil,polygon,Nova União municipality,,,,,,,,,,,,,,,,,,,,,,,,8396,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5979,,2011,,2011,Panstrongylus megistus,Panstrongylus,vector,7,1,0.142857143,Direct examination,Brazil,polygon,Novo Cruzeiro municipality,,,,,,,,,,,,,,,,,,,,,,,,8397,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5980,,2009,,2009,Panstrongylus megistus,Panstrongylus,vector,1,0,0,Direct examination,Brazil,polygon,Novo Cruzeiro municipality,,,,,,,,,,,,,,,,,,,,,,,,8397,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5981,,2009,,2009,Panstrongylus megistus,Panstrongylus,vector,2,0,0,Direct examination,Brazil,polygon,Novo Oriente de Minas municipality,,,,,,,,,,,,,,,,,,,,,,,,8398,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5982,,2011,,2011,Panstrongylus megistus,Panstrongylus,vector,2,1,0.5,Direct examination,Brazil,polygon,Novo Oriente de Minas municipality,,,,,,,,,,,,,,,,,,,,,,,,8398,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5983,,2011,,2011,Panstrongylus megistus,Panstrongylus,vector,2,0,0,Direct examination,Brazil,polygon,Novorizonte municipality,,,,,,,,,,,,,,,,,,,,,,,,8399,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5984,,2010,,2010,Panstrongylus megistus,Panstrongylus,vector,3,0,0,Direct examination,Brazil,polygon,Novorizonte municipality,,,,,,,,,,,,,,,,,,,,,,,,8399,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5985,,2007,,2007,Panstrongylus megistus,Panstrongylus,vector,2,0,0,Direct examination,Brazil,polygon,Novorizonte municipality,,,,,,,,,,,,,,,,,,,,,,,,8399,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5986,,2009,,2009,Panstrongylus megistus,Panstrongylus,vector,6,0,0,Direct examination,Brazil,polygon,Olhos-d'Água municipality,,,,,,,,,,,,,,,,,,,,,,,,8401,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5987,,2007,,2007,Panstrongylus megistus,Panstrongylus,vector,15,1,0.066666667,Direct examination,Brazil,polygon,Olhos-d'Água municipality,,,,,,,,,,,,,,,,,,,,,,,,8401,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5988,,2008,,2008,Panstrongylus megistus,Panstrongylus,vector,2,0,0,Direct examination,Brazil,polygon,Olhos-d'Água municipality,,,,,,,,,,,,,,,,,,,,,,,,8401,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5989,,2011,,2011,Panstrongylus megistus,Panstrongylus,vector,16,0,0,Direct examination,Brazil,polygon,Olhos-d'Água municipality,,,,,,,,,,,,,,,,,,,,,,,,8401,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5990,,2008,,2008,Panstrongylus megistus,Panstrongylus,vector,7,0,0,Direct examination,Brazil,polygon,Oliveira municipality,,,,,,,,,,,,,,,,,,,,,,,,8403,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5991,,2007,,2007,Panstrongylus megistus,Panstrongylus,vector,3,0,0,Direct examination,Brazil,polygon,Oliveira municipality,,,,,,,,,,,,,,,,,,,,,,,,8403,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5992,,2011,,2011,Panstrongylus megistus,Panstrongylus,vector,22,0,0,Direct examination,Brazil,polygon,Onça de Pitangui municipality,,,,,,,,,,,,,,,,,,,,,,,,8405,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5993,,2010,,2010,Panstrongylus megistus,Panstrongylus,vector,1,1,1,Direct examination,Brazil,polygon,Oratórios municipality,,,,,,,,,,,,,,,,,,,,,,,,8406,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5994,,2007,,2007,Panstrongylus megistus,Panstrongylus,vector,4,3,0.75,Direct examination,Brazil,polygon,Oratórios municipality,,,,,,,,,,,,,,,,,,,,,,,,8406,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5995,,2009,,2009,Panstrongylus megistus,Panstrongylus,vector,32,0,0,Direct examination,Brazil,polygon,Pains municipality,,,,,,,,,,,,,,,,,,,,,,,,8416,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5996,,2007,,2007,Panstrongylus megistus,Panstrongylus,vector,14,0,0,Direct examination,Brazil,polygon,Pains municipality,,,,,,,,,,,,,,,,,,,,,,,,8416,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5997,,2008,,2008,Panstrongylus megistus,Panstrongylus,vector,4,0,0,Direct examination,Brazil,polygon,Pains municipality,,,,,,,,,,,,,,,,,,,,,,,,8416,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5998,,2009,,2009,Panstrongylus megistus,Panstrongylus,vector,2,0,0,Direct examination,Brazil,polygon,Pará de Minas municipality,,,,,,,,,,,,,,,,,,,,,,,,8421,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
5999,,2010,,2010,Panstrongylus megistus,Panstrongylus,vector,2,0,0,Direct examination,Brazil,polygon,Paracatu municipality,,,,,,,,,,,,,,,,,,,,,,,,8422,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
6000,,2009,,2009,Panstrongylus megistus,Panstrongylus,vector,1,0,0,Direct examination,Brazil,polygon,Paraguaçu municipality,,,,,,,,,,,,,,,,,,,,,,,,8423,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
6001,,2007,,2007,Panstrongylus megistus,Panstrongylus,vector,9,2,0.222222222,Direct examination,Brazil,polygon,Paraguaçu municipality,,,,,,,,,,,,,,,,,,,,,,,,8423,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
6002,,2010,,2010,Panstrongylus megistus,Panstrongylus,vector,11,2,0.181818182,Direct examination,Brazil,polygon,Paraguaçu municipality,,,,,,,,,,,,,,,,,,,,,,,,8423,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
6003,,2011,,2011,Panstrongylus megistus,Panstrongylus,vector,1,0,0,Direct examination,Brazil,polygon,Paraguaçu municipality,,,,,,,,,,,,,,,,,,,,,,,,8423,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
6004,,2010,,2010,Panstrongylus megistus,Panstrongylus,vector,2,1,0.5,Direct examination,Brazil,polygon,Paraopeba municipality,,,,,,,,,,,,,,,,,,,,,,,,8425,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
6005,,2009,,2009,Panstrongylus megistus,Panstrongylus,vector,1,0,0,Direct examination,Brazil,polygon,Passa Tempo municipality,,,,,,,,,,,,,,,,,,,,,,,,8427,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
6006,,2007,,2007,Panstrongylus megistus,Panstrongylus,vector,1,0,0,Direct examination,Brazil,polygon,Passa Tempo municipality,,,,,,,,,,,,,,,,,,,,,,,,8427,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
6007,,2009,,2009,Panstrongylus megistus,Panstrongylus,vector,1,0,0,Direct examination,Brazil,polygon,Passabém municipality,,,,,,,,,,,,,,,,,,,,,,,,8429,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
6008,,2007,,2007,Panstrongylus megistus,Panstrongylus,vector,5,0,0,Direct examination,Brazil,polygon,Passabém municipality,,,,,,,,,,,,,,,,,,,,,,,,8429,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
6009,,2011,,2011,Panstrongylus megistus,Panstrongylus,vector,4,0,0,Direct examination,Brazil,polygon,Passos municipality,,,,,,,,,,,,,,,,,,,,,,,,8430,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
6010,,2007,,2007,Panstrongylus megistus,Panstrongylus,vector,10,0,0,Direct examination,Brazil,polygon,Passos municipality,,,,,,,,,,,,,,,,,,,,,,,,8430,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
6011,,2010,,2010,Panstrongylus megistus,Panstrongylus,vector,10,0,0,Direct examination,Brazil,polygon,Passos municipality,,,,,,,,,,,,,,,,,,,,,,,,8430,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
6012,,2008,,2008,Panstrongylus megistus,Panstrongylus,vector,1,0,0,Direct examination,Brazil,polygon,Passos municipality,,,,,,,,,,,,,,,,,,,,,,,,8430,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
6013,,2009,,2009,Panstrongylus megistus,Panstrongylus,vector,13,0,0,Direct examination,Brazil,polygon,Passos municipality,,,,,,,,,,,,,,,,,,,,,,,,8430,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
6014,,2008,,2008,Panstrongylus megistus,Panstrongylus,vector,16,0,0,Direct examination,Brazil,polygon,Patos de Minas municipality,,,,,,,,,,,,,,,,,,,,,,,,8432,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
6015,,2007,,2007,Panstrongylus megistus,Panstrongylus,vector,44,0,0,Direct examination,Brazil,polygon,Patos de Minas municipality,,,,,,,,,,,,,,,,,,,,,,,,8432,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
6016,,2011,,2011,Panstrongylus megistus,Panstrongylus,vector,16,0,0,Direct examination,Brazil,polygon,Patos de Minas municipality,,,,,,,,,,,,,,,,,,,,,,,,8432,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
6017,,2010,,2010,Panstrongylus megistus,Panstrongylus,vector,23,0,0,Direct examination,Brazil,polygon,Patos de Minas municipality,,,,,,,,,,,,,,,,,,,,,,,,8432,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
6018,,2011,,2011,Panstrongylus megistus,Panstrongylus,vector,15,2,0.133333333,Direct examination,Brazil,polygon,Patrocínio municipality,,,,,,,,,,,,,,,,,,,,,,,,8433,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
6019,,2007,,2007,Panstrongylus megistus,Panstrongylus,vector,63,10,0.158730159,Direct examination,Brazil,polygon,Patrocínio municipality,,,,,,,,,,,,,,,,,,,,,,,,8433,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
6020,,2008,,2008,Panstrongylus megistus,Panstrongylus,vector,17,0,0,Direct examination,Brazil,polygon,Patrocínio municipality,,,,,,,,,,,,,,,,,,,,,,,,8433,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
6021,,2009,,2009,Panstrongylus megistus,Panstrongylus,vector,16,1,0.0625,Direct examination,Brazil,polygon,Patrocínio municipality,,,,,,,,,,,,,,,,,,,,,,,,8433,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
6022,,2010,,2010,Panstrongylus megistus,Panstrongylus,vector,7,0,0,Direct examination,Brazil,polygon,Patrocínio municipality,,,,,,,,,,,,,,,,,,,,,,,,8433,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
6023,,2007,,2007,Panstrongylus megistus,Panstrongylus,vector,75,8,0.106666667,Direct examination,Brazil,polygon,Pedra do Indaiá municipality,,,,,,,,,,,,,,,,,,,,,,,,8442,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
6024,,2009,,2009,Panstrongylus megistus,Panstrongylus,vector,10,0,0,Direct examination,Brazil,polygon,Pedra do Indaiá municipality,,,,,,,,,,,,,,,,,,,,,,,,8442,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
6025,,2011,,2011,Panstrongylus megistus,Panstrongylus,vector,7,0,0,Direct examination,Brazil,polygon,Pedra do Indaiá municipality,,,,,,,,,,,,,,,,,,,,,,,,8442,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
6026,,2008,,2008,Panstrongylus megistus,Panstrongylus,vector,1,0,0,Direct examination,Brazil,polygon,Pedra do Indaiá municipality,,,,,,,,,,,,,,,,,,,,,,,,8442,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
6027,,2010,,2010,Panstrongylus megistus,Panstrongylus,vector,19,0,0,Direct examination,Brazil,polygon,Pedra do Indaiá municipality,,,,,,,,,,,,,,,,,,,,,,,,8442,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
6028,,2009,,2009,Panstrongylus megistus,Panstrongylus,vector,9,1,0.111111111,Direct examination,Brazil,polygon,Pedrinópolis municipality,,,,,,,,,,,,,,,,,,,,,,,,8446,,,,,,,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
