ID,Start_month,Start_year,End_month,End_year,Host,Community,Lower_age,Upper_age,N_occurrence,Acute infection,Diagnosis,Country,Geometry_type,Site_name_1,Latitude_1,Longitude_1,Coordinate_source_1,Admin2_1,Admin1_1,Publication_year,Source_1,Source_2
16879,,2009,,2009,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,San Salvador,,,,,1193,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16882,,2012,,2012,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,San Salvador,,,,,1193,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16884,,2001,,2001,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Cuscatlan,,,,,1187,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16888,,2005,,2005,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Cuscatlan,,,,,1187,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16889,,2006,,2006,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Cuscatlan,,,,,1187,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16890,,2007,,2007,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Cuscatlan,,,,,1187,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16891,,2008,,2008,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Cuscatlan,,,,,1187,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16892,,2009,,2009,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Cuscatlan,,,,,1187,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16893,,2010,,2010,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Cuscatlan,,,,,1187,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16895,,2012,,2012,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Cuscatlan,,,,,1187,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16901,,2005,,2005,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,La Paz,,,,,1189,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16904,,2008,,2008,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,La Paz,,,,,1189,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16905,,2009,,2009,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,La Paz,,,,,1189,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16911,,2002,,2002,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,San Vicente,,,,,1194,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16913,,2004,,2004,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,San Vicente,,,,,1194,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16917,,2008,,2008,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,San Vicente,,,,,1194,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16924,,2002,,2002,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Cabanas,,,,,1185,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16927,,2005,,2005,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Cabanas,,,,,1185,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16928,,2006,,2006,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Cabanas,,,,,1185,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16929,,2007,,2007,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Cabanas,,,,,1185,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16930,,2008,,2008,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Cabanas,,,,,1185,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16931,,2009,,2009,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Cabanas,,,,,1185,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16939,,2004,,2004,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Usulutan,,,,,1197,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16940,,2005,,2005,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Usulutan,,,,,1197,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16941,,2006,,2006,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Usulutan,,,,,1197,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16943,,2008,,2008,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Usulutan,,,,,1197,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16944,,2009,,2009,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Usulutan,,,,,1197,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16945,,2010,,2010,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Usulutan,,,,,1197,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16946,,2011,,2011,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Usulutan,,,,,1197,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16950,,2002,,2002,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,San Miguel,,,,,1192,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16953,,2005,,2005,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,San Miguel,,,,,1192,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16954,,2006,,2006,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,San Miguel,,,,,1192,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16955,,2007,,2007,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,San Miguel,,,,,1192,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16956,,2008,,2008,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,San Miguel,,,,,1192,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16957,,2009,,2009,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,San Miguel,,,,,1192,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16958,,2010,,2010,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,San Miguel,,,,,1192,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16959,,2011,,2011,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,San Miguel,,,,,1192,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16960,,2012,,2012,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,San Miguel,,,,,1192,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16965,,2004,,2004,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Morazan,,,,,1191,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16968,,2007,,2007,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Morazan,,,,,1191,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16970,,2009,,2009,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,Morazan,,,,,1191,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16978,,2004,,2004,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,La Union,,,,,1190,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16979,,2005,,2005,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,La Union,,,,,1190,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16981,,2007,,2007,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,La Union,,,,,1190,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
16982,,2008,,2008,Homo sapiens,,0,99,,1,Direct examination,El Salvador,polygon,La Union,,,,,1190,2014,"Sasagawa, E. et al. Acute Chagas disease in El Salvador 2000-2012-Need for surveillance and control. Mem. Inst. Oswaldo Cruz 109, 256-258 (2014).",
17145,6,2010,6,2010,Homo sapiens,acute cases in one family and neighbours,0,99,,1,Positive in two independent serological tests,Colombia,point,Jerusalén,,,,13759,,2014,"Soto, H. et al. Investigation of vectors and reservoirs in an acute Chagas outbreak due to possible oral transmission in Aguachica, Cesar, Colombia. Cad. Saude Publica 30, 746-756 (2014).",
17172,11,2008,5,2010,Homo sapiens,report of acute cases,0,99,,1,Positive in two independent serological tests,Colombia,polygon,Santandar,,,,,961,2014,"Echeverria, L. E. et al. Chagas disease and its oral transmission in Colombia: chronicles of an epidemia. Description of eight outbreaks (2008-2010). Eur. J. Heart Fail. 16, 36-37 (2014).",
17173,11,2008,5,2010,Homo sapiens,report of acute cases,0,99,,1,Positive in two independent serological tests,Colombia,polygon,Cesar,,,,,945,2014,"Echeverria, L. E. et al. Chagas disease and its oral transmission in Colombia: chronicles of an epidemia. Description of eight outbreaks (2008-2010). Eur. J. Heart Fail. 16, 36-37 (2014).",
17174,11,2008,5,2010,Homo sapiens,report of acute cases,0,99,,1,Positive in two independent serological tests,Colombia,polygon,Antioquila,,,,,935,2014,"Echeverria, L. E. et al. Chagas disease and its oral transmission in Colombia: chronicles of an epidemia. Description of eight outbreaks (2008-2010). Eur. J. Heart Fail. 16, 36-37 (2014).",
17175,11,2008,5,2010,Homo sapiens,report of acute cases,0,99,,1,Positive in two independent serological tests,Colombia,polygon,Bolivar,,,,,938,2014,"Echeverria, L. E. et al. Chagas disease and its oral transmission in Colombia: chronicles of an epidemia. Description of eight outbreaks (2008-2010). Eur. J. Heart Fail. 16, 36-37 (2014).",
17180,,2008,,2008,Homo sapiens,patients,21,23,,1,Positive in genetic test,Colombia,polygon,Lebrija,,,,14253,,2015,"Diaz, M. L. et al. Acute chagas outbreaks: molecular and biological features of Trypanosoma cruzi isolates, and clinical aspects of acute cases in Santander, Colombia. Parasites & Vectors 8 (2015).",
17181,,2009,,2010,Homo sapiens,patients,3,43,,1,Positive in genetic test,Colombia,polygon,Bucaramanga,,,,14214,,2015,"Diaz, M. L. et al. Acute chagas outbreaks: molecular and biological features of Trypanosoma cruzi isolates, and clinical aspects of acute cases in Santander, Colombia. Parasites & Vectors 8 (2015).",
17182,,2009,,2009,Homo sapiens,patients,6,6,,1,Positive in genetic test,Colombia,polygon,Piedecuesta,,,,14266,,2015,"Diaz, M. L. et al. Acute chagas outbreaks: molecular and biological features of Trypanosoma cruzi isolates, and clinical aspects of acute cases in Santander, Colombia. Parasites & Vectors 8 (2015).",
17183,,2010,,2010,Homo sapiens,patients,24,53,,1,Positive in genetic test,Colombia,polygon,San Vicente De Chucuri,,,,14279,,2015,"Diaz, M. L. et al. Acute chagas outbreaks: molecular and biological features of Trypanosoma cruzi isolates, and clinical aspects of acute cases in Santander, Colombia. Parasites & Vectors 8 (2015).",
17184,,2010,,2010,Homo sapiens,patients,3,19,,1,Positive in genetic test,Colombia,polygon,Girón,,,,14241,,2015,"Diaz, M. L. et al. Acute chagas outbreaks: molecular and biological features of Trypanosoma cruzi isolates, and clinical aspects of acute cases in Santander, Colombia. Parasites & Vectors 8 (2015).",
17549,,,,,Homo sapiens,,0,99,,1,Positive in one serological test,Brazil,polygon,Abaetetuba,,,,8724,,2015,"Santos, S. O. et al. Chagas disease in the Brazilian Amazon: serological and parasitological survey in risk areas. Trop. Med. Int. Health. 20, 340-340 (2015).",
17579,,,,,Homo sapiens,,47,47,,1,"Positive in three independent serological tests, and genetic test",Brazil,polygon,Mangaratiba,,,,9934,,2015,"Sangenis, L. H. C. et al. First report of acute Chagas disease by vector transmission in Rio de Janeiro state, Brazil. Rev. Inst. Med. Trop. Sao Paulo 57, 361-364 (2015).",
17601,,2006,,2012,Homo sapiens,,0,99,,1,Positive in two independent serological tests,Brazil,polygon,Para,,,,,678,2015,"Costa, E. D. G. et al. Epidemiological features of acute Chagas disease in the Brazilian Amazon. Trop. Med. Int. Health. 20, 338-338 (2015).",
17602,2,2012,2,2012,Homo sapiens,,2,2,1,1,Histopathology,Brazil,point,Rio do Prata,-20.52698,-40.5628,"Dario et al. (2016) Parasites & Vectors, 9, 477",,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication","Dario M.A. et al. Ecological scenario and Trypanosoma cruzi DTU characterization of a fatal acute Chagas disease case transmitted orally (Espirito Santo state, Brazil). Parasites & Vectors 9, 477 (2016)."
17603,1,2007,12,2007,Homo sapiens,,0,99,,1,"Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",Brazil,polygon,Abaetetuba,,,,8724,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
17604,1,2008,12,2008,Homo sapiens,,0,99,,1,"Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",Brazil,polygon,Abaetetuba,,,,8724,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
17605,1,2009,12,2009,Homo sapiens,,0,99,,1,"Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",Brazil,polygon,Abaetetuba,,,,8724,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
17606,1,2010,12,2010,Homo sapiens,,0,99,,1,"Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",Brazil,polygon,Abaetetuba,,,,8724,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
17607,1,2011,12,2011,Homo sapiens,,0,99,,1,"Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",Brazil,polygon,Abaetetuba,,,,8724,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
17608,1,2012,12,2012,Homo sapiens,,0,99,,1,"Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",Brazil,polygon,Abaetetuba,,,,8724,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
17609,1,2013,12,2013,Homo sapiens,,0,99,,1,"Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",Brazil,polygon,Abaetetuba,,,,8724,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
17610,1,2009,12,2009,Homo sapiens,,0,99,,1,"Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",Brazil,polygon,Acara,,,,8726,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
17611,1,2011,12,2011,Homo sapiens,,0,99,,1,"Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",Brazil,polygon,Acara,,,,8726,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
17612,1,2013,12,2013,Homo sapiens,,0,99,,1,"Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",Brazil,polygon,Acara,,,,8726,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
17613,1,2008,12,2008,Homo sapiens,,0,99,,1,"Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",Brazil,polygon,Afua,,,,8727,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
17614,1,2009,12,2009,Homo sapiens,,0,99,,1,"Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",Brazil,polygon,Afua,,,,8727,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
17615,1,2010,12,2010,Homo sapiens,,0,99,,1,"Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",Brazil,polygon,Afua,,,,8727,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
17616,1,2013,12,2013,Homo sapiens,,0,99,,1,"Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",Brazil,polygon,Afua,,,,8727,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
17617,1,2010,12,2010,Homo sapiens,,0,99,,1,"Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",Brazil,polygon,Altamira,,,,8731,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
17618,1,2013,12,2013,Homo sapiens,,0,99,,1,"Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",Brazil,polygon,Altinho,,,,9497,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
17619,1,2007,12,2007,Homo sapiens,,0,99,,1,"Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",Brazil,polygon,Anajas,,,,8732,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
17620,1,2008,12,2008,Homo sapiens,,0,99,,1,"Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",Brazil,polygon,Anajas,,,,8732,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
17621,1,2009,12,2009,Homo sapiens,,0,99,,1,"Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",Brazil,polygon,Anajas,,,,8732,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
17622,1,2010,12,2010,Homo sapiens,,0,99,,1,"Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",Brazil,polygon,Anajas,,,,8732,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
17623,1,2011,12,2011,Homo sapiens,,0,99,,1,"Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",Brazil,polygon,Anajas,,,,8732,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
17624,1,2012,12,2012,Homo sapiens,,0,99,,1,"Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",Brazil,polygon,Anajas,,,,8732,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
17625,1,2013,12,2013,Homo sapiens,,0,99,,1,"Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",Brazil,polygon,Anajas,,,,8732,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
17626,1,2007,12,2007,Homo sapiens,,0,99,,1,"Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",Brazil,polygon,Anama,,,,6474,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
17627,1,2010,12,2010,Homo sapiens,,0,99,,1,"Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",Brazil,polygon,Anama,,,,6474,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
17628,1,2012,12,2012,Homo sapiens,,0,99,,1,"Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",Brazil,polygon,Anama,,,,6474,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
17629,1,2011,12,2011,Homo sapiens,,0,99,,1,"Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",Brazil,polygon,Ananas,,,,11705,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
17630,1,2007,12,2007,Homo sapiens,,0,99,,1,"Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",Brazil,polygon,Ananindeua,,,,8733,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
17631,1,2009,12,2009,Homo sapiens,,0,99,,1,"Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",Brazil,polygon,Ananindeua,,,,8733,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
17632,1,2010,12,2010,Homo sapiens,,0,99,,1,"Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",Brazil,polygon,Ananindeua,,,,8733,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
17633,1,2011,12,2011,Homo sapiens,,0,99,,1,"Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",Brazil,polygon,Ananindeua,,,,8733,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
17634,1,2012,12,2012,Homo sapiens,,0,99,,1,"Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",Brazil,polygon,Ananindeua,,,,8733,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
17635,1,2013,12,2013,Homo sapiens,,0,99,,1,"Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",Brazil,polygon,Ananindeua,,,,8733,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
17636,1,2010,12,2010,Homo sapiens,,0,99,,1,"Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",Brazil,polygon,Anapu,,,,8734,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
17637,1,2009,12,2009,Homo sapiens,,0,99,,1,"Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",Brazil,polygon,Apui,,,,6476,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
17638,1,2012,12,2012,Homo sapiens,,0,99,,1,"Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",Brazil,polygon,Apui,,,,6476,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
17639,1,2010,12,2010,Homo sapiens,,0,99,,1,"Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",Brazil,polygon,Aragarcas,,,,7231,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
17640,1,2011,12,2011,Homo sapiens,,0,99,,1,"Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",Brazil,polygon,Araguatins,,,,11713,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
17641,1,2008,12,2008,Homo sapiens,,0,99,,1,"Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",Brazil,polygon,Augustinopolis,,,,11716,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
17642,1,2012,12,2012,Homo sapiens,,0,99,,1,"Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",Brazil,polygon,Autazes,,,,6478,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
17643,1,2008,12,2008,Homo sapiens,,0,99,,1,"Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",Brazil,polygon,Axixa,,,,7469,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
17644,1,2008,12,2008,Homo sapiens,,0,99,,1,"Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",Brazil,polygon,Axixa do Tocantins,,,,11718,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
17645,1,2007,12,2007,Homo sapiens,,0,99,,1,"Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",Brazil,polygon,Bagre,,,,8738,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
17646,1,2009,12,2009,Homo sapiens,,0,99,,1,"Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",Brazil,polygon,Baiao,,,,8739,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
17647,1,2013,12,2013,Homo sapiens,,0,99,,1,"Direct examination, or xenodiagnosis and/or haemoculture, or serological test(s), or histopathology",Brazil,polygon,Baiao,,,,8739,,,"Maia da Costa, V. & Vieira Alves, R. (2015) personal communication",
