Location_ID,Author_Year,Ref_Number,Year_MAYV_Start,Year_MAYV_End,Host_Type,Location_Description,Adm0,Adm1,Adm2,GAUL_code,Finer_Res,Location_Type,Admin_Level,X_Coord,Y_Coord,Coord_Source,Uncertainty_km,Uncertainty_Description,Diagnostic_Test,Positive_n,Denominator,Qual_score,Language
ADM2_18,"Nunes, 2019",DOI:10.34117/bjdv5n9-203,2016,2018,Human,"Sera samples collected by the Central Health Laboratory of Maranhão (LACEN-MA). According to our protocol, we will georeference the centroid of the ADM2 unit where the hospital/health center is located.",Brazil,Maranhao,Sao Luis,7636,N/A,Administrative polygon,2,-44.30441,-2.64949,GeoNames,22,Distance from coordinates to furthest point in the state,RT-PCR,1,620,10,E
ADM2_19,Forshey 2010,PMID: 20706628,2003,2007,Human,"Article states that, ""Participants were recruited when reporting with acute febrile illness to public, private, or military health facilities in and around these regional centers, in or near Piura, Cusco, Tumbes, and Yurimaguas, Peru, as well as Santa Cruz, Bolivia; Concepcion, Magdalena, and Cochabamba (Villa Tunari and Eterazama), Bolivia; Guayaquil, Ecuador; Asuncioon, Paraguay; and La Merced and Puerto Maldonado, Peru."" According to our protocol, we will georeference the centroid of the ADM2 unit where the hospital/health center is located.",Ecuador,Guayas,Guayaquil,15423,N/A,Administrative Polygon,2,-80.03831,-2.33406,GeoNames,80,Distance from coordinates to furthest point in the province,Viral culture; RT-PCR; ELISA,"1 total confirmed by isolation, PCR, or ELISA. 0 isolates",350,12,E
ADM2_20,Forshey 2010,PMID: 20706628,2004,2007,Human,"Article states that, ""Participants were recruited when reporting with acute febrile illness to public, private, or military health facilities in and around these regional centers, in or near Piura, Cusco, Tumbes, and Yurimaguas, Peru, as well as Santa Cruz, Bolivia; Concepcion, Magdalena, and Cochabamba (Villa Tunari and Eterazama), Bolivia; Guayaquil, Ecuador; Asuncioon, Paraguay; and La Merced and Puerto Maldonado, Peru."" According to our protocol, we will georeference the centroid of the ADM2 unit where the hospital/health center is located.",Bolivia,Santa Cruz,Nuflo de Chavez,40531,Concepcion,Administrative Polygon,2,-62.1047,-16.12409,GeoNames,257,Measured from coordinates to the furthest point in the province,Viral culture; RT-PCR; ELISA,"3 total confirmed by isolation, PCR, or ELISA. 2 isolates",380,12,E
ADM2_21,"Travassos da Rosa, 1998 (citing unpublished data)",Available at: https://patua.iec.gov.br/bitstream/handle/iec/189/Arboviruses%20isolated%20in%20the%20Evandro%20Chagas%20Institute%2C%20including%20some%20descibed%20for%20the%20first%20time%20in%20the%20Brazilian%20Amazon%20region%2C%20their%20known%20hosts%2C%20and%20their%20pathology%20for%20man.pdf?sequence=1&isAllowed=y,1981,1981,Human,"The article cites unpublished data: ""At least four epidemics of Mayaro rever virus have been reported in Pará State, Amazonian region: in Guamá in 1955, Belterra in 1978, Conceição do Araguaia in 1981 and Benevides in 1991."" No further geographic information is provided.",Brazil,Para,Conceição do Araguaia,8762,N/A,Administrative Polygon,2,-49.6035,-8.15433,GeoNames,70,Distance from coordinates to furthest point in the county,N/A,N/A,N/A,0,E
ADM2_22,"Travassos da Rosa, 1998 (citing unpublished data)",Available at: https://patua.iec.gov.br/bitstream/handle/iec/189/Arboviruses%20isolated%20in%20the%20Evandro%20Chagas%20Institute%2C%20including%20some%20descibed%20for%20the%20first%20time%20in%20the%20Brazilian%20Amazon%20region%2C%20their%20known%20hosts%2C%20and%20their%20pathology%20for%20man.pdf?sequence=1&isAllowed=y,1991,1991,Human,"The article cites unpublished data: ""At least four epidemics of Mayaro rever virus have been reported in Pará State, Amazonian region: in Guamá in 1955, Belterra in 1978, Conceição do Araguaia in 1981 and Benevides in 1991."" No further geographic information is provided.",Brazil,Para,Benevides,8744,N/A,Administrative Polygon,2,-48.28873,-1.32453,GeoNames,15,Distance from coordinates to furthest point in the county,N/A,N/A,N/A,0,E
ADM2_23,"Travassos da Rosa, 1998 (citing unpublished data)",Available at: https://patua.iec.gov.br/bitstream/handle/iec/189/Arboviruses%20isolated%20in%20the%20Evandro%20Chagas%20Institute%2C%20including%20some%20descibed%20for%20the%20first%20time%20in%20the%20Brazilian%20Amazon%20region%2C%20their%20known%20hosts%2C%20and%20their%20pathology%20for%20man.pdf?sequence=1&isAllowed=y,1987,1987,Human,"The article cites unpublished data: ""Outside Pará State, two outbreaks were registered in 1987 and 1991 in Itaruma, Goiás State (unpublished data) and in Peixe, Tocantins State (Vasconcelos & Travassos da Rosa, 1991, unpublished data)."" No further geographic information is provided.",Brazil,Goias,Itaruma,7327,N/A,Administrative Polygon,2,-51.32023,-18.87992,GeoNames,72,Distance from coordinates to furthest point in the county,N/A,N/A,N/A,0,E
ADM2_24,"Travassos da Rosa, 1998 (citing unpublished data)",Available at: https://patua.iec.gov.br/bitstream/handle/iec/189/Arboviruses%20isolated%20in%20the%20Evandro%20Chagas%20Institute%2C%20including%20some%20descibed%20for%20the%20first%20time%20in%20the%20Brazilian%20Amazon%20region%2C%20their%20known%20hosts%2C%20and%20their%20pathology%20for%20man.pdf?sequence=1&isAllowed=y,1991,1991,Human,"The article cites unpublished data: ""Outside Pará State, two outbreaks were registered in 1987 and 1991 in Itaruma, Goiás State (unpublished data) and in Peixe, Tocantins State (Vasconcelos & Travassos da Rosa, 1991, unpublished data)."" No further geographic information is provided.",Brazil,Tocantins,Peixe,11796,N/A,Administrative Polygon,2,-48.53284,-11.99612,GeoNames,74,Distance from coordinates to furthest point in the county,N/A,N/A,N/A,0,E
ADM2_25,"Correa, 2020",Available at: https://repositorio.bc.ufg.br/tede/handle/tede/10423,2017,2018,Human,"Patients at the Jardim Novo Mundo Integrated Health Care Center in the county of Goiania, state of Goias. According to our protocol, we will georeference the centroid of the ADM2 unit where the hospital/health center is located.",Brazil,Goias,Goiania,7301,N/A,Administrative Polygon,2,-49.25993,-16.64019,GeoNames,25,Distance from coordinates to furthest point in county,RT-PCR,78,459,10,P
ADM2_26,"Brazil MOH, 2016",No longer available,2014,2016,Human,"The article states that the probable sites of infection for confirmed MAYV cases were in the state of Goiás, in the municipalities of Professor Jamil (n = 12), Rio Quente (n = 11) ; Goiânia (n = 10), Bela Vista de Goiás (n = 7), Hidrolândia (n = 6), Piracanjuba (n = 6), Orizona (n = 4), Aparecida de Goiânia (n = 2), Caiapônia (n=1) and Caldazinha (n=1). Another nine cases were recorded in Tocantins, three in the municipality of Paraiso do Tocantins, three in Palmas, two in Itacajá and one in Formoso do Araguaia, in addition to a single confirmed case  in Belém, Pará.""",Brazil,Goias,Aparecida de Goiania,7227,N/A,Administrative polygon,2,-49.24836,-16.83994,GeoNames,14,Distance from coordinates to furthest point in the county,N/A,2,N/A,5,P
ADM2_27,"Brazil MOH, 2016",No longer available,2014,2016,Human,"The article states that the probable sites of infection for confirmed MAYV cases were in the state of Goiás, in the municipalities of Professor Jamil (n = 12), Rio Quente (n = 11) ; Goiânia (n = 10), Bela Vista de Goiás (n = 7), Hidrolândia (n = 6), Piracanjuba (n = 6), Orizona (n = 4), Aparecida de Goiânia (n = 2), Caiapônia (n=1) and Caldazinha (n=1). Another nine cases were recorded in Tocantins, three in the municipality of Paraiso do Tocantins, three in Palmas, two in Itacajá and one in Formoso do Araguaia, in addition to a single confirmed case  in Belém, Pará.""",Brazil,Goias,Bela Vista de Goias,7240,N/A,Administrative polygon,2,-48.91556,-16.97413,GeoNames,36,Distance from coordinates to furthest point in the county,N/A,7,N/A,5,P
ADM2_28,"Brazil MOH, 2016",No longer available,2014,2016,Human,"The article states that the probable sites of infection for confirmed MAYV cases were in the state of Goiás, in the municipalities of Professor Jamil (n = 12), Rio Quente (n = 11) ; Goiânia (n = 10), Bela Vista de Goiás (n = 7), Hidrolândia (n = 6), Piracanjuba (n = 6), Orizona (n = 4), Aparecida de Goiânia (n = 2), Caiapônia (n=1) and Caldazinha (n=1). Another nine cases were recorded in Tocantins, three in the municipality of Paraiso do Tocantins, three in Palmas, two in Itacajá and one in Formoso do Araguaia, in addition to a single confirmed case  in Belém, Pará.""",Brazil,Para,Belem,8742,N/A,Administrative polygon,2,-48.45991,-1.24071,GeoNames,30,Distance from coordinates to furthest point in the county,N/A,1,N/A,5,P
ADM2_28,"Taylor, 1967",N/A,1964,1964,Animal,"This entry is a data table from the Belem Virus laboratory. MAYV was detected in the ""Utinga forest"" in Brazil but no further information is provided. Based on this information, we georeferenced the ADM2 unit in which the Utinga Forest is located.",Brazil,Para,Belem,8742,Utinga forest,Administrative polygon,2,-48.45991,-1.24071,GeoNames,30,Distance from coordinates to farthest point in the county,HI; Viral culture,76 (HI);2 isolates,1073,3,E
ADM2_29,"Brazil MOH, 2016",No longer available,2014,2016,Human,"The article states that the probable sites of infection for confirmed MAYV cases were in the state of Goiás, in the municipalities of Professor Jamil (n = 12), Rio Quente (n = 11) ; Goiânia (n = 10), Bela Vista de Goiás (n = 7), Hidrolândia (n = 6), Piracanjuba (n = 6), Orizona (n = 4), Aparecida de Goiânia (n = 2), Caiapônia (n=1) and Caldazinha (n=1). Another nine cases were recorded in Tocantins, three in the municipality of Paraiso do Tocantins, three in Palmas, two in Itacajá and one in Formoso do Araguaia, in addition to a single confirmed case  in Belém, Pará.""",Brazil,Goias,Caiaponia,7255,N/A,Administrative polygon,2,-51.79148,-16.95987,GeoNames,78,Distance from coordinates to furthest point in the county,N/A,1,N/A,5,P
ADM2_30,"Brazil MOH, 2016",No longer available,2014,2016,Human,"The article states that the probable sites of infection for confirmed MAYV cases were in the state of Goiás, in the municipalities of Professor Jamil (n = 12), Rio Quente (n = 11) ; Goiânia (n = 10), Bela Vista de Goiás (n = 7), Hidrolândia (n = 6), Piracanjuba (n = 6), Orizona (n = 4), Aparecida de Goiânia (n = 2), Caiapônia (n=1) and Caldazinha (n=1). Another nine cases were recorded in Tocantins, three in the municipality of Paraiso do Tocantins, three in Palmas, two in Itacajá and one in Formoso do Araguaia, in addition to a single confirmed case  in Belém, Pará.""",Brazil,Goias,Caldazinha,7257,N/A,Administrative polygon,2,-49.00064,-16.74858,GeoNames,20,Distance from coordinates to furthest point in the county,N/A,1,N/A,5,P
ADM2_31,"Brazil MOH, 2016",No longer available,2014,2016,Human,"The article states that the probable sites of infection for confirmed MAYV cases were in the state of Goiás, in the municipalities of Professor Jamil (n = 12), Rio Quente (n = 11) ; Goiânia (n = 10), Bela Vista de Goiás (n = 7), Hidrolândia (n = 6), Piracanjuba (n = 6), Orizona (n = 4), Aparecida de Goiânia (n = 2), Caiapônia (n=1) and Caldazinha (n=1). Another nine cases were recorded in Tocantins, three in the municipality of Paraiso do Tocantins, three in Palmas, two in Itacajá and one in Formoso do Araguaia, in addition to a single confirmed case  in Belém, Pará.""",Brazil,Tocantins,Formoso do Araguaia,11753,N/A,Administrative polygon,2,-50.09809,-11.95898,GeoNames,115,Distance from coordinates to furthest point in the county,N/A,1,N/A,5,P
ADM2_32,"Brazil MOH, 2016",No longer available,2014,2016,Human,"The article states that the probable sites of infection for confirmed MAYV cases were in the state of Goiás, in the municipalities of Professor Jamil (n = 12), Rio Quente (n = 11) ; Goiânia (n = 10), Bela Vista de Goiás (n = 7), Hidrolândia (n = 6), Piracanjuba (n = 6), Orizona (n = 4), Aparecida de Goiânia (n = 2), Caiapônia (n=1) and Caldazinha (n=1). Another nine cases were recorded in Tocantins, three in the municipality of Paraiso do Tocantins, three in Palmas, two in Itacajá and one in Formoso do Araguaia, in addition to a single confirmed case  in Belém, Pará.""",Brazil,Goias,Hidrolandia,7311,N/A,Administrative polygon,2,-49.25465,-17.01618,GeoNames,29,Distance from coordinates to furthest point in the county,N/A,6,N/A,5,P
ADM2_33,"Brazil MOH, 2016",No longer available,2014,2016,Human,"The article states that the probable sites of infection for confirmed MAYV cases were in the state of Goiás, in the municipalities of Professor Jamil (n = 12), Rio Quente (n = 11) ; Goiânia (n = 10), Bela Vista de Goiás (n = 7), Hidrolândia (n = 6), Piracanjuba (n = 6), Orizona (n = 4), Aparecida de Goiânia (n = 2), Caiapônia (n=1) and Caldazinha (n=1). Another nine cases were recorded in Tocantins, three in the municipality of Paraiso do Tocantins, three in Palmas, two in Itacajá and one in Formoso do Araguaia, in addition to a single confirmed case  in Belém, Pará.""",Brazil,Tocantins,Itacaja,11760,N/A,Administrative polygon,2,-47.62201,-8.55538,GeoNames,53,Distance from coordinates to furthest point in the county,N/A,2,N/A,5,P
ADM2_34,"Brazil MOH, 2016",No longer available,2014,2016,Human,"The article states that the probable sites of infection for confirmed MAYV cases were in the state of Goiás, in the municipalities of Professor Jamil (n = 12), Rio Quente (n = 11) ; Goiânia (n = 10), Bela Vista de Goiás (n = 7), Hidrolândia (n = 6), Piracanjuba (n = 6), Orizona (n = 4), Aparecida de Goiânia (n = 2), Caiapônia (n=1) and Caldazinha (n=1). Another nine cases were recorded in Tocantins, three in the municipality of Paraiso do Tocantins, three in Palmas, two in Itacajá and one in Formoso do Araguaia, in addition to a single confirmed case  in Belém, Pará.""",Brazil,Goias,Orizona,7373,N/A,Administrative polygon,2,-48.15274,-16.99232,GeoNames,35,Distance from coordinates to furthest point in the county,N/A,4,N/A,5,P
ADM2_35,"Brazil MOH, 2016",No longer available,2014,2016,Human,"The article states that the probable sites of infection for confirmed MAYV cases were in the state of Goiás, in the municipalities of Professor Jamil (n = 12), Rio Quente (n = 11) ; Goiânia (n = 10), Bela Vista de Goiás (n = 7), Hidrolândia (n = 6), Piracanjuba (n = 6), Orizona (n = 4), Aparecida de Goiânia (n = 2), Caiapônia (n=1) and Caldazinha (n=1). Another nine cases were recorded in Tocantins, three in the municipality of Paraiso do Tocantins, three in Palmas, two in Itacajá and one in Formoso do Araguaia, in addition to a single confirmed case  in Belém, Pará.""",Brazil,Tocantins,Palmas,11789,N/A,Administrative polygon,2,-48.0777,-10.11592,GeoNames,45,Distance from coordinates to furthest point in the county,N/A,3,N/A,5,P
ADM2_36,"Brazil MOH, 2016",No longer available,2014,2016,Human,"The article states that the probable sites of infection for confirmed MAYV cases were in the state of Goiás, in the municipalities of Professor Jamil (n = 12), Rio Quente (n = 11) ; Goiânia (n = 10), Bela Vista de Goiás (n = 7), Hidrolândia (n = 6), Piracanjuba (n = 6), Orizona (n = 4), Aparecida de Goiânia (n = 2), Caiapônia (n=1) and Caldazinha (n=1). Another nine cases were recorded in Tocantins, three in the municipality of Paraiso do Tocantins, three in Palmas, two in Itacajá and one in Formoso do Araguaia, in addition to a single confirmed case  in Belém, Pará.""",Brazil,Tocantins,Paraiso do Tocantins,11792,N/A,Administrative polygon,2,-48.88032,-10.23212,GeoNames,32,Distance from coordinates to furthest point in the county,N/A,3,N/A,5,P
ADM2_37,"Brazil MOH, 2016",No longer available,2014,2016,Human,"The article states that the probable sites of infection for confirmed MAYV cases were in the state of Goiás, in the municipalities of Professor Jamil (n = 12), Rio Quente (n = 11) ; Goiânia (n = 10), Bela Vista de Goiás (n = 7), Hidrolândia (n = 6), Piracanjuba (n = 6), Orizona (n = 4), Aparecida de Goiânia (n = 2), Caiapônia (n=1) and Caldazinha (n=1). Another nine cases were recorded in Tocantins, three in the municipality of Paraiso do Tocantins, three in Palmas, two in Itacajá and one in Formoso do Araguaia, in addition to a single confirmed case  in Belém, Pará.""",Brazil,Goias,Piracanjuba,7387,N/A,Administrative polygon,2,-49.02423,-17.32257,GeoNames,41,Distance from coordinates to furthest point in the county,N/A,6,N/A,5,P
ADM2_38,"Brazil MOH, 2016",No longer available,2014,2016,Human,"The article states that the probable sites of infection for confirmed MAYV cases were in the state of Goiás, in the municipalities of Professor Jamil (n = 12), Rio Quente (n = 11) ; Goiânia (n = 10), Bela Vista de Goiás (n = 7), Hidrolândia (n = 6), Piracanjuba (n = 6), Orizona (n = 4), Aparecida de Goiânia (n = 2), Caiapônia (n=1) and Caldazinha (n=1). Another nine cases were recorded in Tocantins, three in the municipality of Paraiso do Tocantins, three in Palmas, two in Itacajá and one in Formoso do Araguaia, in addition to a single confirmed case  in Belém, Pará.""",Brazil,Goias,Professor Jamil,7397,N/A,Administrative polygon,2,-49.25572,-17.29408,GeoNames,23,Distance from coordinates to furthest point in the county,N/A,12,N/A,5,P
ADM2_39,"Brazil MOH, 2016",No longer available,2014,2016,Human,"The article states that the probable sites of infection for confirmed MAYV cases were in the state of Goiás, in the municipalities of Professor Jamil (n = 12), Rio Quente (n = 11) ; Goiânia (n = 10), Bela Vista de Goiás (n = 7), Hidrolândia (n = 6), Piracanjuba (n = 6), Orizona (n = 4), Aparecida de Goiânia (n = 2), Caiapônia (n=1) and Caldazinha (n=1). Another nine cases were recorded in Tocantins, three in the municipality of Paraiso do Tocantins, three in Palmas, two in Itacajá and one in Formoso do Araguaia, in addition to a single confirmed case  in Belém, Pará.""",Brazil,Goias,Rio Quente,7401,N/A,Administrative polygon,2,-48.80202,-17.81769,GeoNames,13,Distance from coordinates to furthest point in the county,N/A,11,N/A,5,P
ADM2_40,"Brazil MOH, 2019",Available at: https://portalarquivos2.saude.gov.br/images/pdf/2019/outubro/04/BE-multitematico-n28.pdf,2019,2019,Human,"Article states that cases of MAYV were detected in Para state, in the municipalities listed in Table 1 (Acara, Ananindeua, and Vigia).",Brazil,Para,Acara,8726,N/A,Administrative polygon,2,-48.47992,-2.10359,GeoNames,71,Distance from coordinates to furthest point in the county,N/A,2,N/A,7,P
ADM2_41,"Brazil MOH, 2019",Available at: https://portalarquivos2.saude.gov.br/images/pdf/2019/outubro/04/BE-multitematico-n28.pdf,2019,2019,Human,"Article states that cases of MAYV were detected in Para state, in the municipalities listed in Table 1 (Acara, Ananindeua, and Vigia).",Brazil,Para,Ananindeua,8733,N/A,Administrative polygon,2,-48.38287,-1.34611,GeoNames,14,Distance from coordinates to furthest point in the county,N/A,2,N/A,7,P
ADM2_42,"Brazil MOH, 2019",Available at: https://portalarquivos2.saude.gov.br/images/pdf/2019/outubro/04/BE-multitematico-n28.pdf,2019,2019,Human,"Article states that cases of MAYV were detected in Para state, in the municipalities listed in Table 1 (Acara, Ananindeua, and Vigia).",Brazil,Para,Vigia,8863,N/A,Administrative polygon,2,-48.13799,-0.88818,GeoNames,30,Distance from coordinates to furthest point in the county,N/A,1,N/A,7,P
ADM2_43,Navarette-Espinosa 2006,PMID: 16904038,2001,2001,Human,The study was carried out in patients with a probable diagnosis of hemorrhagic dengue admitted to hospital units in 11 counties. Table 1 shows the location where MAYV was detected,Mexico,Veracruz,Coatzacoalcos,21121,N/A,Administrative polygon,2,-94.38917,18.12501,GeoNames,27,Distance from coordinates to furthest point in the county,ELISA ,1,8,10,S
ADM2_44,Navarette-Espinosa 2006,PMID: 16904038,2001,2001,Human,The study was carried out in patients with a probable diagnosis of hemorrhagic dengue admitted to hospital units in 11 counties. Table 1 shows the location where MAYV was detected,Mexico,Tamaulipas,Tampico,21025,N/A,Administrative polygon,2,-97.93595,22.29508,GeoNames,14,Distance from coordinates to furthest point in the county,ELISA ,1,1,10,S
ADM2_45,"Barros, 2018",Available at: https://repositorio.ufpi.br/xmlui/handle/123456789/1336,2016,2017,Human,"Patients at at the Municipal Emergency Room, Laboratory of Parnaíba, Hospital Dirceu Arcoverde (HEDA) and Central Laboratory of Public Health Dr. Costa Alvarenga (LACEN-PI). According to our protocol, we will georeference the centroid of the ADM2 unit where the hospital/health center is located.",Brazil,Piaui,Parnaiba,9822,Hospital Dirceu Arcoverde (HEDA) ,Administrative Polygon,2,-41.73536,-2.92278,GeoNames,22,Distance from coordinates to furthest point in the county,RT-PCR,1,115,10,P
ADM2_46,"Groot, 1964",DOI: dx.doi.org/10.18257/raccefyn.565,1956,1961,Human,"See Table 2 on page 210 for locations of MAYV infections.  There is both a town and an ADM2 region called Acandi. In order to be conservative, we georeferenced the ADM2 unit.",Colombia,Choco,Acandi,13783,N/A,Administrative Polygon,2,-77.2928,8.42468,GeoNames,26,Distance from coordinates to furthest point in the county,NT,2,21,9,S
ADM2_47,"Groot, 1964",DOI: dx.doi.org/10.18257/raccefyn.565,1956,1961,Human,"See Table 2 on page 210 for locations of MAYV infections. There is both a town and an ADM2 unit called Barrancabermeja. In order to be conservative, we georeferenced the ADM2 unit.",Colombia,Santander,Barrancabermeja,14211,N/A,Administrative Polygon,2,-73.7712,7.05452,GeoNames,45,Distance from coordinates to furthest point in the county,NT,38,155,9,S
ADM2_47,"Groot, 1964",DOI: dx.doi.org/10.18257/raccefyn.565,1957,1957,Animal,"Locations provided in Tables 27-28 on page 21. We were unable to identify the community of Lizama, although we found a Lizama Hotel on GoogleMaps that aligns with the map provided in the article. In order to be conservative, we decided to georeference the ADM2 unit in which the Lizama Hotel is located.",Colombia,Santander,Barrancabermeja,14211,Lizama,Administrative polygon,2,-73.7712,7.05452,GeoNames,45,Measured from coordinates to the furthest point in the province,HI,1,9,11,S
ADM2_48,"Groot, 1964",DOI: dx.doi.org/10.18257/raccefyn.565,1956,1961,Human,"See Table 2 on page 210 for locations of MAYV infections. There is both a town and an ADM2 unit called Espinal. In order to be conservative, we georeferenced the ADM2 unit.",Colombia,Tolima,Espinal,14332,N/A,Administrative Polygon,2,-74.91233,4.15089,GeoNames,14,Distance from coordinates to furthest point in the county,NT,3,85,9,S
ADM2_49,Pereira 2017,Available at: https://tede.ufam.edu.br/handle/tede/7100,2014,2016,Human,"This study was carried out in two cities in three insitutions in the state of Amazonas, counties of Manaus and Coari: Laboratory Regional Center (LACEN), Tropical Medicine Foundation (FMT) and Regional Hospital Coari (HCR). According to our protocol, we will georeference the centroid of the ADM2 unit where the hospital/health center is located.",Brazil,Amazonas,Coari,6491,Coari,Administrative polygon,2,-64.15114,-4.05402,GeoNames,242,Distance from coordinates to furthest point in the county,Indirect enzyme immunoassay; microneutralization,261 positive by enzyme immunoassay and microneutralization,451,12,P
ADM2_50,Pereira 2017,Available at: https://tede.ufam.edu.br/handle/tede/7100,2014,2016,Human,"This study was carried out in two cities in three insitutions in the state of Amazonas, counties of Manaus and Coari: Laboratory Regional Center (LACEN), Tropical Medicine Foundation (FMT) and Regional Hospital Coari (HCR). According to our protocol, we will georeference the centroid of the ADM2 unit where the hospital/health center is located.",Brazil,Amazonas,Manaus,6509,Manaus,Administrative polygon,2,-60.01282,-3.04361,GeoNames,128,Distance from coordinates to furthest point in the county,Indirect enzyme immunoassay; microneutralization,63 positive by enzyme immunoassay and microneutralization,449,12,P
ADM2_51,"News article, 2019",Available at: https://www.eurekalert.org/pub_releases/2019-12/fda-mtt112919.php,2019,2019,Human,"The article states that two cases of MAYV were reported in Niterói (Rio de Janeiro state), and two were reported in São Carlos (São Paulo state). No further geographic information was provided.",Brazil,Rio De Janeiro,Niteroi,9941,N/A,Administrative Polygon,2,-43.08391,-22.91715,GeoNames,14,Distance from coordinates to furthest point in the county,N/A,1,N/A,0,E
ADM2_52,"Fuentes, 1971",PMID: 5281208,1968,1968,Human,"Article states that human sera came from people hospitalized for various reasons at the San Vicente de Paul Hospital, Heredia, Costa Rica. According to our protocol, we will georeference the centroid of the ADM2 unit where the hospital/health center is located.",Costa Rica,Heredia,Heredia,14507,Hospital San Vicente de Paul,Administrative polygon,2,-84,10.33333,GeoNames,55,Distance from coordinates to farthest point in the county,HI,7,948,6,S
ADM2_53,"Degallier, 1992",Available at: https://www.researchgate.net/publication/32977559_Modifications_of_arbovirus_transmission_in_relation_to_construction_of_dams_in_Brazilian_Amazonia,1988,1988,Human,"Human sera was collected in the area of the Balbina dam, but the authors don't specify where precisely the collection occurred. Therefore, we decided to georeference the ADM2 unit.",Brazil,Amazonas,Presidente Figueiredo,6519,Balbina Dam,Administrative polygon,2,-59.98317,-1.28344,GeoNames,150,Measured from coordinates to the furthest point in the district,HI; NT; Viral culture,N/A,284,10,E
ADM2_54,"Degallier, 1992",Available at: https://www.researchgate.net/publication/32977559_Modifications_of_arbovirus_transmission_in_relation_to_construction_of_dams_in_Brazilian_Amazonia,1983,1987,Animal,"Animal sera was collected in the area of the Tucurui hydroelectric dam area in ""various small localities, situated in the area of the actual lake,"" but the authors don't specify where precisely the collection occurred. Therefore, we decided to georeference the ADM2 unit. ",Brazil,Para,Tucurui,8860,Tucurui Dam,Administrative polygon,2,-49.87481,-3.82757,GeoNames,45,Measured from coordinates to the furthest point in the district,HI,48.2% had antibodies in 1984; 4 monkeys had antibodies in 1985,N/A,9,E
ADM2_54,"Degallier, 1992",Available at: https://www.researchgate.net/publication/32977559_Modifications_of_arbovirus_transmission_in_relation_to_construction_of_dams_in_Brazilian_Amazonia,1982,1988,Human,"Human sera was collected in the area of the Tucurui hydroelectric dam area in ""various small localities, situated in the area of the actual lake,"" but the authors don't specify where precisely the collection occurred. Therefore, we decided to georeference the ADM2 unit. ",Brazil,Para,Tucurui,8860,Tucurui Dam,Administrative polygon,2,-49.87481,-3.82757,GeoNames,45,Measured from coordinates to the furthest point in the district,HI; NT; Viral culture,6 seroconversions; 1 isolation,1940,10,E
ADM2_55,"Dixon, 1981",Available at: https://iris.paho.org/handle/10665.2/27469,1974,1976,Human,"The article states that, ""the government has divided the highway into segments called glebas, each of which contains 10 roadside lots and a variable number of internal lots. This study was restricted to the approximately 700 families, a population of just under 4,000 persons, who lived on roadside lots in the two study areas.""  The map in the article shows the study site extends along the highway. Due to the lack of geographic precision, we decided to georeference the ADM2 unit. MAYV was detected in both the Altamira and Maraba area.",Brazil,Para,Altamira,8731,Altamira,Administrative polygon,2,-53.65823,-5.87889,GeoNames,410,Measured from coordinates to the furthest point in the district,HI,"21 seroconverted to Alphavirus, most commonly MAYV (N not specified)",802,11,E
ADM2_56,"Dixon, 1981",Available at: https://iris.paho.org/handle/10665.2/27469,1974,1976,Human,"The article states that, ""the government has divided the highway into segments called glebas, each of which contains 10 roadside lots and a variable number of internal lots. This study was restricted to the approximately 700 families, a population of just under 4,000 persons, who lived on roadside lots in the two study areas.""  The map in the article shows the study site extends along the highway. Due to the lack of geographic precision, we decided to georeference the ADM2 unit. MAYV was detected in both the Altamira and Maraba area.",Brazil,Para,Maraba,8789,Maraba,Administrative polygon,2,-50.06414,-5.62104,GeoNames,153,Measured from coordinates to the furthest point in the district,HI,35,801,11,E
ADM2_57,"Ministerio de Salud del Perú, 2005",Available at: http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1726-46342005000300003,2000,2001,Human,"The study was carried out in the geographic area of ​​four health facilities on the north coast and the eastern jungle of Peru: the Chiclayito and Salitral Health Center in the Piura province, the Yurimaguas Hospital in the Alto Amazonas province, and the San Juan Health Center in the province of Maynas (Loreto). According to our protocol, we will georeference the centroid of the ADM2 unit where the hospital/health center is located.",Peru,Piura,Sullana,24163,Salitral Health Center,Administrative polygon,2,-80.66667,-4.5,GeoNames,88,Measured from coordinates to the furthest point in the district,ELISA,1,56,11,S
ADM2_58,PAHO Epidemiological Alert Mayaro Fever 2019,Available at: https://www.paho.org/hq/index.php?option=com_docman&view=download&category_slug=mayaro-fever-2323&alias=48374-1-may-2019-mayaro-fever-epidemiological-alert&Itemid=270&lang=en,2019,2019,Human,"The report states that 5 samples were positive for Mayaroin Ecuador. The cases correspond to four different cantons: Guayaquil (2 cases), Portoviejo (1 case), Santo Domingo (1 case), and Babahoyo (1 case).",Ecuador,Los Rios,Babahoyo,15462,N/A,Administrative Polygon,2,-79.51667,-1.81667,GeoNames,50,Distance from coordinates to furthest point in the county,N/A,1,N/A,0,E
